"date","time","venue","pitch","competition","division","home","away","round","status","url"
"2026-09-13","09:00","Alfred Skeet Reserve","Field 2","Junior Development League","U15's Division 1","Armadale SC - U15 JDL D1","Fremantle City FC - U15 JDL D1","Round 17","","https://registration.squadi.com/matchSummary?matchId=951649&competitionId=1481&competitionUniqueKey=2929eee2-4f37-46f3-a6d6-123acee5443f"
"2026-09-13","09:00","Alfred Skeet Reserve","Field 3","Junior Development League","U14's Division 2","Armadale SC - U14 JDL D2","Rockingham City FC - U14 JDL D2","Round 17","","https://registration.squadi.com/matchSummary?matchId=951249&competitionId=1481&competitionUniqueKey=2929eee2-4f37-46f3-a6d6-123acee5443f"
"2026-09-13","09:00","Alfred Skeet Reserve","Field 3","Miniroos","Under 8's Girls South ","Armadale SC White - U8G South","Victoria Park SC - U8G South ","Round 18","","https://registration.squadi.com/matchSummary?matchId=938351&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","10:30","Alfred Skeet Reserve","Field 2","Junior Development League","U15's Division 4","Armadale SC - U15 JDL D4","Carramar Shamrock Rovers FC - U15 JDL D4","Round 17","","https://registration.squadi.com/matchSummary?matchId=951650&competitionId=1481&competitionUniqueKey=2929eee2-4f37-46f3-a6d6-123acee5443f"
"2026-09-13","10:30","Alfred Skeet Reserve","Field 3","Junior Development League","U13's  Division 2","Armadale SC - U13 JDL D2","Sorrento FC - U13 JDL D2","Round 17","","https://registration.squadi.com/matchSummary?matchId=951016&competitionId=1481&competitionUniqueKey=2929eee2-4f37-46f3-a6d6-123acee5443f"
"2026-09-13","08:00","Morgan Park","Field 2","Miniroos","Under 8's Blue Parrots/Dingoes","Armadale SC - U8 B Parrots/Dingoes","Port Kennedy SC - U8 B Parrots/Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=931835&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","08:00","Morgan Park","Field 3","Miniroos","Under 8's Girls South ","Armadale SC Red - U8G South","Kalamunda City FC - U8G South","Round 18","","https://registration.squadi.com/matchSummary?matchId=938357&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","08:00","Morgan Park","Field 4","Junior Development League","U13's Girls Division 1","Armadale SC - U13G JDL D1","UWA Nedlands FC - U13G JDL D1","Round 17","","https://registration.squadi.com/matchSummary?matchId=952027&competitionId=1481&competitionUniqueKey=2929eee2-4f37-46f3-a6d6-123acee5443f"
"2026-09-13","08:00","Morgan Park","Field 5","Miniroos","Under 11's Yellow Dingoes","ASC - U11s Y Dingoes","Queens Park SC - U11s Y Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=935975&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","08:00","Morgan Park","Field 6","Miniroos","Under 11's Green Geckos","ASC - U11 G Geckos","Aubin Grove United FC - U11 G Goannas","Round 18","","https://registration.squadi.com/matchSummary?matchId=939996&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","09:00","Morgan Park","Field 2","Miniroos","Under 8's Purple Dingoes","Armadale SC - U8 P Dingoes","Queens Park SC - U8 P Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=931834&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","09:00","Morgan Park","Field 5","Miniroos","Under 10's Girls Yellow Geckos","Armadale SC - U10G Yellow Geckos","Victoria Park SC - U10G Yellow Geckos","Round 18","","https://registration.squadi.com/matchSummary?matchId=938358&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","09:00","Morgan Park","Field 6","Miniroos","Under 12's Girls Dingoes","ASC - U12 Girls Dolphins","Queens Park SC U12Girls Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=938378&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","10:00","Morgan Park","Field 2","Miniroos","Under 8's Yellow Dingoes","Armadale SC - U8 Y Dingoes","Sutherlands Park FC U8 Y Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=931836&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","10:00","Morgan Park","Field 3","Miniroos","Under 9's Blue Dingoes","ASC - U9 Blue Dingoes","Fremantle City FC - U9 B Dingoes","Round 18","","https://registration.squadi.com/matchSummary?matchId=933359&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
"2026-09-13","10:00","Morgan Park","Field 5","Miniroos","Under 10's Blue League","ASC - U10 B ","Carramar Shamrock Rovers FC - U10 B ","Round 18","","https://registration.squadi.com/matchSummary?matchId=934724&competitionId=1523&competitionUniqueKey=018d2b7c-6797-4cd1-a2c9-8aa2784cb832"
